PartSetID,TensilePartSetID_Extern,TensileTestID_Intern,BuildOrientationAngle,LayerThickness,LayerThicknessUnit,NameOfProcessParameter,HTatEMI,TemperatureControlParameterValue,TemperatureUnitSymbol,Ym_value,Ym_unit,Rp02_value,Rp02_unit,R_UTS_value,R_UTS_unit,A_value,A_unit,HeatTreatment_ID,Surface,CO2value_LPBF,CO2value_PartSet,CO2value_PL,CO2value_HT,CO2value_Sep,CO2value_waste,CO2value
Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl710,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.66564E+11,MPa ,266505033,MPa ,383740408,MPa ,2.1769E+16,%,none,raw,100,142,0,0,3,0,1145
Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl711,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.5853E+15,MPa ,256972011,MPa ,3.71794E+16,MPa ,2.10005E+11,%,none,raw,100,142,0,0,3,0,1145
Statisch 45° nicht abdrehen - Static_15 - Nr. 1,Statisch 45° nicht abdrehen - Static_15 - Nr. 1,AHH1_RTzl712,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,7.89674E+11,MPa ,264973081,MPa ,381972997,MPa ,2.15989E+11,%,none,raw,100,142,0,0,3,0,1145
Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl710,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.64078E+11,MPa ,12169022,MPa ,2.37785E+16,MPa ,5.95831E+11,%,T5,raw,100,142,0,462,3,0,1607
Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl711,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.73474E+11,MPa ,133015984,MPa ,2.4419E+16,MPa ,5.19139E+11,%,T5,raw,100,142,0,462,3,0,1607
Extra - Nicht abdrehen!,Extra - Nicht abdrehen!,AHH3_RTzl712,45,9,mm,______Standard_160324_only_up,FALSCH,20,°C,6.57976E+11,MPa ,1.33323E+16,MPa ,246015567,MPa ,6.68076E+11,%,T5,raw,100,142,0,462,3,0,1607
XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl707,45,3,mm,_Split,FALSCH,20,°C,7.4173E+15,MPa ,2.52292E+16,MPa ,369605103,MPa ,2.5785E+11,%,none,raw,100,142,0,0,3,0,1145
XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl708,45,3,mm,_Split,FALSCH,20,°C,7.07271E+15,MPa ,243597096,MPa ,362980376,MPa ,2.63453E+11,%,none,raw,100,142,0,0,3,0,1145
XY 45° Oberfläche,XY 45° Oberfläche,AHH5_RTzl709,45,3,mm,_Split,FALSCH,20,°C,7.07705E+11,MPa ,2.52195E+16,MPa ,364675503,MPa ,2.29621E+11,%,none,raw,100,142,0,0,3,0,1145
XY 45° Oberfläche 2h 300 °C,XY 45° Oberfläche 2h 300 °C,AHH6_RTzl707,45,3,mm,_Split,WAHR,20,°C,6.91384E+11,MPa ,1.56721E+16,MPa ,258036188,MPa ,1.15883E+11,%,T5,raw,100,142,0,462,3,0,1607
XY 45° Oberfläche 2h 300 °C,XY 45° Oberfläche 2h 300 °C,AHH6_RTzl708,45,3,mm,_Split,WAHR,20,°C,6.83941E+11,MPa ,155498178,MPa ,258109985,MPa ,1.15915E+11,%,T5,raw,100,142,0,462,3,0,1607
XY 45° Oberfläche 2h 300 °C,XY 45° Oberfläche 2h 300 °C,AHH6_RTzl709,45,3,mm,_Split,WAHR,20,°C,7.09282E+11,MPa ,1.59829E+16,MPa ,2.63022E+16,MPa ,9.52974E+11,%,T5,raw,100,142,0,462,3,0,1607
NaN,NaN,NaN,0,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,7,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,8,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,3,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,7,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,8,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,3,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,4,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,5,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,0,6,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,7,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,8,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,3,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,7,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,8,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,3,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,4,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,5,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,6,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,7,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,8,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,3,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T6,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,7,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,8,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,3,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,4,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,5,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,90,6,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,polished,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,4,mm,______Standard_160324_only_up,FALSCH,150,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,5,mm,______Standard_160324_only_up,FALSCH,250,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,6,mm,______Standard_160324_only_up,FALSCH,280,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,7,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,8,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,3,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,4,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,5,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,6,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,7,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,8,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,3,mm,______Standard_160324_only_up,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,4,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,5,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,6,mm,_Split,FALSCH,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,none,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,3,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,3,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,45,3,mm,_Split,WAHR,20,°C,NaN,MPa ,NaN,MPa ,NaN,MPa ,NaN,%,T5,raw,NaN,NaN,NaN,NaN,NaN,NaN,NaN
